No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
41,FAQ,SACAD,​Quand est-ce que je dois faire une répétition ?,"Directive sur l’organisation des modules à la HEIA-FR :

Art. 11 al. 1 Lorsqu’un module est terminé, l’étudiant-e qui n’obtient pas les crédits correspondants doit le répéter dès que possible. Dans ce cas, sauf indication contraire dans le descriptif de module validée par la direction académique, la répétition porte sur tous les cours qui le composent dont la note est inférieure à 4.0. La note attribuée pour un cours répété est la note obtenue lors de sa répétition.
al. 2 
La répétition d'un cours inclut la répétition de l’éventuel examen de révision et doit être achevée au plus tard à la fin de l'année académique qui suit l'échec. Des dérogations peuvent être accordées par la direction académique, sur proposition du ou de la responsable de filière.
al. 3
Dans un module incomplet,
a) les cours avec note inférieure à 4.0 doivent être répétés dès que possible;
b) les cours avec note supérieure ou égale à 4.0 sont considérés comme réussis et les notes sont acquises. L’étudiant-e peut toutefois demander de suivre un cours réussi comme auditeur-trice interne. La demande se fait au moyen du formulaire PFP. Si l’inscription est validée, une présence régulière aux cours est exigée. Le cours est suivi sans obtention d’une nouvelle note.
al. 4
Lorsqu’un cours est suivi par anticipation sur l’année suivante et que sa note est inférieure à 4.0, il doit être répété dès que possible, sans attendre que le module soit terminé. Les dérogations à cette règle sont accordées par la direction académique, sur proposition du ou de la responsable de filière.
al. 5
Lorsqu'un cours est répété, les modalités applicables, notamment le poids du cours dans le module, sont celles en vigueur au moment de la répétition.
al. 6
En présence d’un examen annuel de branche ou de module, l’examen est considéré comme un cours. Il est possible, mais pas obligatoire, que ce cours soit soumis à une ou plusieurs conditions d’accès.
al. 7
Lorsqu'un cours qui doit être répété ne figure plus dans le module, le ou la responsable de filière propose en remplacement une activité de formation équivalente.
al. 8
Un cours peut être suivi au maximum deux fois, hors cours suivi comme auditeur-trice interne.","Wann muss ich wiederholen?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 11, Abs. 1 Studierende, die nach Abschluss eines Moduls nicht die entsprechenden ECTS-Punkte erreichen, müssen das Modul so bald wie möglich wiederholen. Sofern in der von der Direktion Lehre genehmigten Modulbeschreibung nichts anderes angegeben ist, müssen in diesem Fall nur die Kurse wiederholt werden, in denen die Studierenden die Note 4.0 nicht erreicht haben. Die für einen wiederholten Kurs vergebene Note ist die bei der Wiederholung erreichte Note. 
Abs. 2 
Ein nicht bestandener Kurs und die damit eventuell verbundene Schlussprüfung müssen innerhalb des darauffolgenden akademischen Jahres wiederholt werden. Allfällige Abweichungen von dieser Regel können von der Direktion Lehre auf Vorschlag der Studiengangsleitung genehmigt werden. 
Abs. 3
Für unvollständige Module gilt Folgendes:
a) Kurse, in denen die Note 4.0 nicht erreicht wurde, müssen schnellstmöglich wiederholt werden;
b) Kurse, in denen eine Note von mindestens 4.0 erreicht wurde, gelten als bestanden und die Note zählt. Die oder der Studierende kann jedoch für bestandene Kurse mittels PSP-Formular einen Antrag zur Teilnahme als interne Hörerin bzw. als interner Hörer stellen. Wird der Antrag bewilligt, ist die oder der Studierende verpflichtet, die betroffenen Kurse regelmässig zu besuchen. Es werden keine neuen Endnoten erworben.
Abs. 4
Wenn ein Kurs des folgenden Studienjahres vorgezogen wird und die Note unter 4.0 liegt, muss er schnellstmöglich vor Beendigung des Moduls wiederholt werden. Ausnahmen werden von der Direktion Lehre auf Vorschlag der Studiengangleitung genehmigt.
Abs. 5
Wird ein Kurs wiederholt, sind die Modalitäten, insbesondere die Gewichtung des Kurses innerhalb des Moduls, anwendbar, die zum Zeitpunkt der Wiederholung gelten.
Abs. 6
Wird ein Kurs oder ein Modul mit einer Jahresprüfung abgeschlossen, gilt letztere als Kurs und es ist möglich, dass eine oder mehrere Zulassungsbedingungen gelten.
Abs. 7
Wurde ein zu wiederholender Kurs aus dem Modul gestrichen, schlägt die Studiengangleitung eine gleichwertige Studienaktivität als Ersatz vor.
Abs. 8
Ein Kurs kann maximal zweimal belegt werden. Die Teilnahme als interne Hörerin bzw. als interner Hörer gemäss Absatz 3 b) des vorliegenden Artikels zählt dabei nicht.",HEIA,Formation
42,FAQ,SACAD,​Dois-je m'inscrire pour les examens de remédiation ?,"Directive sur l’organisation des modules à la HEIA-FR :
Art. 10 Aucun module n’est remédiable au sens de l’Art. 22 du Règlement sur la formation de base en HES-SO.","Muss ich mich für Zusatzprüfungen einschreiben?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 10 Für Module gibt es keine Zusatzprüfungen gemäss Art. 22 des Reglements über die Grundausbildung an der HES-SO.
",HEIA,Formation
43,FAQ,SACAD,"​Que se passe-t-il si un module n'est pas validé ?
","Directive sur l’organisation des modules à la HEIA-FR :
Art. 11 al. 1 Lorsqu’un module est terminé, l’étudiant-e qui n’obtient pas les crédits correspondants doit le répéter dès que possible. Dans ce cas, sauf indication contraire dans le descriptif de module validée par la direction académique, la répétition porte sur tous les cours qui le composent dont la note est inférieure à 4.0. La note attribuée pour un cours répété est la note obtenue lors de sa répétition.
al. 2 
La répétition d'un cours inclut la répétition de l’éventuel examen de révision et doit être achevée au plus tard à la fin de l'année académique qui suit l'échec. Des dérogations peuvent être accordées par la direction académique, sur proposition du ou de la responsable de filière.
al. 3
Dans un module incomplet,
a) les cours avec note inférieure à 4.0 doivent être répétés dès que possible;
b) les cours avec note supérieure ou égale à 4.0 sont considérés comme réussis et les notes sont acquises. L’étudiant-e peut toutefois demander de suivre un cours réussi comme auditeur-trice interne. La demande se fait au moyen du formulaire PFP. Si l’inscription est validée, une présence régulière aux cours est exigée. Le cours est suivi sans obtention d’une nouvelle note.
al. 4
Lorsqu’un cours est suivi par anticipation sur l’année suivante et que sa note est inférieure à 4.0, il doit être répété dès que possible, sans attendre que le module soit terminé. Les dérogations à cette règle sont accordées par la direction académique, sur proposition du ou de la responsable de filière.
al. 5
Lorsqu'un cours est répété, les modalités applicables, notamment le poids du cours dans le module, sont celles en vigueur au moment de la répétition.
al. 6
En présence d’un examen annuel de branche ou de module, l’examen est considéré comme un cours. Il est possible, mais pas obligatoire, que ce cours soit soumis à une ou plusieurs conditions d’accès.
al. 7
Lorsqu'un cours qui doit être répété ne figure plus dans le module, le ou la responsable de filière propose en remplacement une activité de formation équivalente.
al. 8
Un cours peut être suivi au maximum deux fois, hors cours suivi comme auditeur-trice interne.











","Was passiert, wenn ich die Bedingungen für das Bestehen eines Moduls nicht erfülle?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 11, Abs. 1 Studierende, die nach Abschluss eines Moduls nicht die entsprechenden ECTS-Punkte erreichen, müssen das Modul so bald wie möglich wiederholen. Sofern in der von der Direktion Lehre genehmigten Modulbeschreibung nichts anderes angegeben ist, müssen in diesem Fall nur die Kurse wiederholt werden, in denen die Studierenden die Note 4.0 nicht erreicht haben. Die für einen wiederholten Kurs vergebene Note ist die bei der Wiederholung erreichte Note. 
Abs. 2 
Ein nicht bestandener Kurs und die damit eventuell verbundene Schlussprüfung müssen innerhalb des darauffolgenden akademischen Jahres wiederholt werden. Allfällige Abweichungen von dieser Regel können von der Direktion Lehre auf Vorschlag der Studiengangsleitung genehmigt werden. 
Abs. 3
Für unvollständige Module gilt Folgendes:
a) Kurse, in denen die Note 4.0 nicht erreicht wurde, müssen schnellstmöglich wiederholt werden;
b) Kurse, in denen eine Note von mindestens 4.0 erreicht wurde, gelten als bestanden und die Note zählt. Die oder der Studierende kann jedoch für bestandene Kurse mittels PSP-Formular einen Antrag zur Teilnahme als interne Hörerin bzw. als interner Hörer stellen. Wird der Antrag bewilligt, ist die oder der Studierende verpflichtet, die betroffenen Kurse regelmässig zu besuchen. Es werden keine neuen Endnoten erworben.
Abs. 4
Wenn ein Kurs des folgenden Studienjahres vorgezogen wird und die Note unter 4.0 liegt, muss er schnellstmöglich vor Beendigung des Moduls wiederholt werden. Ausnahmen werden von der Direktion Lehre auf Vorschlag der Studiengangleitung genehmigt.
Abs. 5
Wird ein Kurs wiederholt, sind die Modalitäten, insbesondere die Gewichtung des Kurses innerhalb des Moduls, anwendbar, die zum Zeitpunkt der Wiederholung gelten.
Abs. 6
Wird ein Kurs oder ein Modul mit einer Jahresprüfung abgeschlossen, gilt letztere als Kurs und es ist möglich, dass eine oder mehrere Zulassungsbedingungen gelten.
Abs. 7
Wurde ein zu wiederholender Kurs aus dem Modul gestrichen, schlägt die Studiengangleitung eine gleichwertige Studienaktivität als Ersatz vor.
Abs. 8
Ein Kurs kann maximal zweimal belegt werden. Die Teilnahme als interne Hörerin bzw. als interner Hörer gemäss Absatz 3 b) des vorliegenden Artikels zählt dabei nicht.",HEIA,Formation
44,FAQ,SACAD,​Puis-je répéter un module validé ?,"Directive sur l’organisation des modules à la HEIA-FR :
Art 12 al. 1 Sous réserve de l'accord du conseil de filière, l'étudiant·e peut choisir de répéter un cours déjà réussi (note finale d’au moins 4.0). Dans ce cas, la note de cours est la note obtenue lors de la répétition.
al. 2 
Il n’est pas possible de répéter un module réussi.","Kann ich ein bestandenes Modul wiederholen?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 12, Abs. 1 Mit dem Einverständnis des Studiengangrats können Studierende auch einen bestandenen Kurs wiederholen (Endnote von mindestens 4.0). Die für einen wiederholten Kurs vergebene Note ist in diesem Fall die bei der Wiederholung erreichte Note. 
Abs. 2
Es ist nicht möglich, ein bereits bestandenes Modul zu wiederholen.
",HEIA,Formation
45,FAQ,SACAD,​Comment valider un module ?,"Directive sur l’organisation des modules à la HEIA-FR :
Art. 9 al. 1 Un module terminé est réussi lorsque sa moyenne est d’au moins 4.0 et qu’aucune note de cours n’est inférieure à 3.0. 
al. 2
Un module terminé est échoué si sa moyenne est inférieure à 4.0 ou s’il contient au moins un cours dont la note est inférieure à 3.0.","Wann gilt ein Modul als bestanden?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 9, Abs. 1 Ein abgeschlossenes Modul gilt als bestanden, wenn der Notendurchschnitt mindestens 4.0 beträgt und keine Kursnote unter 3.0 liegt.
Abs. 2
Ein abgeschlossenes Modul gilt als nicht bestanden, wenn der Notendurchschnitt des Moduls unter 4.0 liegt oder wenn mindestens einer der Kurse des Moduls mit einer Endnote unter 3.0 abgeschlossen wurde.",HEIA,Formation
46,FAQ,SACAD,​Qu'est-ce qu'une unité de cours ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 4 al. 5 Une unité de cours (ou unité d’enseignement) est un élément d’enseignement ou d’apprentissage ayant une durée et des objectifs bien déterminés et entrant dans la composition d’un module.","Was ist eine Vorlesungs- oder Unterrichtseinheit?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 4, Abs. 5 Eine Vorlesungseinheit (oder Unterrichtseinheit) ist ein Unterrichts- oder Lernbaustein, dessen Dauer und dessen Ziele genau festgelegt sind und der Bestandteil eines Moduls ist.
",HEIA,Formation
47,FAQ,SACAD,​Qu'est-ce qu'un module ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 4 al. 3 Un module est un ensemble structuré et cohérent d’activités d’enseignement et d’apprentissage qui permettent d’atteindre les objectifs de formation. Tout module est sanctionné notamment par l’attribution de crédits ECTS et fait l’objet d’un descriptif de module. Il peut être composé d’unités de cours.","Was ist ein Modul?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 4, Abs. 3 Ein Modul ist ein strukturierter und kohärenter Komplex von Lehr- und Lernaktivitäten, die die Erreichung der Ausbildungsziele ermöglichen. Für jedes Modul werden ECTS-Credits vergeben. Es wird in einem Modulbeschrieb definiert und kann aus Vorlesungseinheiten bestehen.
",HEIA,Formation
49,FAQ,SACAD,​Puis-je faire des photos ou des copies de mes examens pendant la consultation ?,"Non. Pendant la consultation, l'étudiant·e peut prendre des notes mais ne peut en aucun cas faire des copies ou des photos.","Kann ich während der Einsicht in die Prüfungen Fotos oder Kopien machen?
","Nein, das ist verboten. Sie dürfen jedoch Notizen machen.",HEIA,Formation
50,FAQ,SACAD,​Puis-je venir consulter mes examens accompagné·e ?,Non. La consultation des examens n'est pas publique : l'étudiant·e ne peut pas se présenter accompagné·e d'une tierce personne ni se faire représenter par une tierce personne.,"Darf ich bei der Einsicht in die Prüfuzngen eine andere Person mitnehmen?
","Nein, die Einsicht ist nicht öffentlich. Man kann sich auch nicht durch Drittpersonen vertreten lassen.",HEIA,Formation
51,FAQ,SACAD,​Pendant combien de temps la consultation des examens est-elle possible ?,"La consultation n'est possible que dans les 10 jours suivants la publication des notes (Directive sur l'organisation des modules à  la HEIA-FR, art. 7 al 3)","Wie lange ist die Einsicht in die Prüfungen möglich?
","Die Einsicht ist während 10 Tagen nach Bekanntgabe der Noten möglich (Richtlinie über die Organisation der Module an der HTA-FR, Art. 7, Abs. 3)",HEIA,Formation
